artist (original),"""Best"" pair",Similarity,Character difference,Operations to transform
Żydowski Instytut Historyczny,Edwin Augustus Harleston,0.49056603773584906,17,10
American Photographic Company (Auckland),Jan Steengracht van Moyland,0.47761194029850745,27,9
N.V. Haagsche Plateelfabriek Rozenburg,Hans Peter Reuter,0.4727272727272727,27,10
National Underground Railroad Freedom Center,Nicasia Madariaga Rementeria,0.4722222222222222,33,12
UTI,EUSTACHIUS,0.46153846153846156,7,4
UNKNOWN,ANOHNI,0.46153846153846156,5,3
WXYZ,Wu Ye,0.4444444444444444,2,2
LIP,Liu Pu,0.4444444444444444,2,2
FIFA,RIANN,0.4444444444444444,4,3
FT,Fan Tan,0.4444444444444444,5,2
LIP,HAWOLI,0.4444444444444444,5,2
WXYZ,Wu Zi,0.4444444444444444,3,2
LIP,Le Pho,0.4444444444444444,3,2
EKG,THE KID,0.4,4,3
CB23,Cao Ba,0.4,5,2
-,En-I,0.4,3,2
8A,Alb,0.4,3,2
8A,AsB,0.4,3,2
8A,AKI,0.4,3,2
8A,108,0.4,3,2
8A,RAF,0.4,2,2
8A,GAL,0.4,2,2
8A,JAS,0.4,2,2
USSBS,OUBEY,0.4,4,3
C3PO,C,0.4,3,1
CB23,B,0.4,3,2
CB23,C,0.4,3,1
-,Ei-Q,0.4,3,2
EKG,E. Gill,0.4,4,2
USSBS,EUSTACHIUS,0.4,9,3
-,Ay-O,0.4,3,2
M30,Master of 1310,0.35294117647058826,11,2
M30,Master of 1302,0.35294117647058826,11,2
MP5,M. Paulus,0.3333333333333333,3,2
MP5,Mike Parr,0.3333333333333333,5,2
MP5,Mișu Popp,0.3333333333333333,5,2
MP5,Míla Paša,0.3333333333333333,5,2
MP5,May Power,0.3333333333333333,4,2
MP5,Maria Pop,0.3333333333333333,6,2
MP5,Mel Prest,0.3333333333333333,4,2
MP5,Márta Pán,0.3333333333333333,6,2
MP5,MWF,0.3333333333333333,2,1
MP5,Pol,0.3333333333333333,2,2
Macy Smith,May Smith,0.9473684210526315,1,1
Monogrammist CL,Monogrammist IL,0.9333333333333333,1,1
Jill Harris,Bill Harris,0.9090909090909091,1,1
John Harmer,John Harper,0.9090909090909091,1,1
John Harmer,John Farmer,0.9090909090909091,1,1
Wolof,Wolf,0.8888888888888888,1,1
Ibar,Ibara,0.8888888888888888,1,1
M. Pillet,M. Jillet,0.8888888888888888,1,1
Stika,Stik,0.8888888888888888,1,1
William Stow,William Stone,0.88,1,1
William Stow,William Stout,0.88,1,1
William Stow,William Stott,0.88,1,1
Michael Burt,Michael Burns,0.88,1,1
Michael Cohn,Michael Krohn,0.88,1,1
Joe Hamilton,John Hamilton,0.88,1,1
Richard Maly,Richard Maury,0.88,1,1
Zeng Hao,Zong Hao,0.875,1,1
Bill Ray,Bill Day,0.875,1,1
Anna Fox,Anna Foy,0.875,1,1
Mark Williamson,Martin Williamson,0.875,1,1
Ran Hong,Tan Hong,0.875,1,1
Don Rice,Don Nice,0.875,1,1
Don Rice,Dan Rice,0.875,1,1
Peter Adams,Peter Adamič,0.8695652173913043,1,1
Franz Russ,Franz Reiss,0.8571428571428571,1,1
M. Stevens,May Stevens,0.8571428571428571,1,1
